Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109901 .,800,353,16,158,2,3,0,0,1,0,0,0,0,533,2,12,547,253
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109902 .,800,316,25,164,3,0,0,0,0,0,0,0,1,509,4,10,523,277
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109903 .,800,301,18,180,1,3,0,0,0,0,0,0,0,503,1,3,507,293
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109904 .,800,292,26,181,3,0,0,0,0,0,0,2,0,504,5,8,517,283
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109905 .,800,320,28,180,8,2,0,2,0,1,0,0,2,543,2,8,553,247
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109906A .,400,171,14,78,2,1,0,0,0,0,0,0,0,266,3,6,275,125
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109906B .,590,231,21,118,2,0,0,0,0,0,0,2,0,374,0,7,381,209
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,3 DE FEVEREIRO,ESCOLA SECUNDÁRIA DE LAULANE,1109907 .,676,266,25,134,3,0,0,0,0,1,0,1,0,430,1,10,441,235
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA  SEC. JOAQUIM CHISSANO,1111201 .,800,249,19,152,0,0,0,0,0,0,0,0,0,420,9,3,432,368
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA  SEC. JOAQUIM CHISSANO,1111202 .,800,258,24,175,3,0,0,0,0,0,1,0,0,461,2,7,470,330
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA  SEC. JOAQUIM CHISSANO,1111203 .,673,205,14,119,2,0,0,0,0,1,0,1,0,342,5,8,355,318
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA P. ACORDOS DE ROMA,1110901 .,800,291,18,163,2,0,0,3,0,0,0,0,0,477,3,10,490,310
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA P. ACORDOS DE ROMA,1110902 .,800,252,29,156,1,2,1,0,0,0,0,0,0,441,2,14,457,343
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA P. ACORDOS DE ROMA,1110903 .,800,240,28,184,3,0,1,0,1,1,1,1,1,461,4,11,476,324
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA P. ACORDOS DE ROMA,1110904A .,400,116,13,82,0,0,0,0,0,0,0,0,0,211,1,4,216,184
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA P. ACORDOS DE ROMA,1110904B .,440,116,19,94,1,0,0,0,0,0,0,0,0,230,1,8,239,201
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE ALBASINE,1111101 .,800,212,19,173,1,0,0,1,1,0,1,0,0,408,3,12,423,377
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE ALBASINE,1111102 .,800,263,22,139,3,0,1,0,0,0,1,1,2,432,1,6,439,361
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE ALBASINE,1111103A .,400,88,11,80,3,0,0,0,0,1,0,1,0,184,1,5,190,210
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE ALBASINE,1111103B .,500,131,17,93,1,2,0,1,0,0,0,1,0,246,2,4,252,248
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE CHIANGO,1111301 .,800,200,22,191,1,0,0,1,0,0,0,0,0,415,3,12,430,370
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE CHIANGO,1111302 .,800,167,16,195,2,0,0,0,0,0,0,0,0,380,10,12,402,398
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA PRIMÁRIA DE CHIANGO,1111303 .,442,121,7,80,1,0,0,0,0,0,0,0,1,210,1,3,214,228
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,ALBASINE,ESCOLA TÉCNICA DO ALBASINE,1111001 .,800,253,18,164,0,0,1,0,0,0,1,0,1,438,10,11,459,341
